,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn,action,reward
1021,0.0,-0.5609450575298826,-5.625,0.375,0.2167836588072951,0.1658769742310889,0.0394469097060482,0.0500924816042251,0.3257328990228013,0.3689927972605974,0.0088495575221238,1.0,-0.997513734370451,-2.1875
1022,0.0,-0.9975129881087922,-2.1875,0.1458333333333333,0.0110600412337752,0.0711554447215295,0.1316776581921596,0.1152697680724727,0.4136807817589576,0.2859546581650726,0.0088495575221238,0.0,-0.8779396168922211,-3.125
1023,0.0,-0.8778654955521119,-3.125,0.2083333333333333,0.2086992096654475,0.2137988362427265,0.0458456936919267,0.0382763137218154,0.2214983713355049,0.165426850867871,0.0022123893805309,0.0,-0.9896335232861146,-2.8125
1024,0.0,-0.9896420313319798,-2.8125,0.1875,0.0022461193978817,0.6479634247714048,0.3353355071220182,0.4223967599719881,0.1335504885993485,0.1512870468768449,0.163716814159292,0.0,-0.9535473194164824,-1.875
1025,0.0,-0.9532425543444064,-1.875,0.125,0.1513735794925938,0.9191188694929342,0.0481747529971315,0.0611629090097938,0.0781758957654723,0.0885582713425433,0.0,1.0,-0.8540831450065816,-2.1875
1026,0.0,-0.8544425085158474,-2.1875,0.1458333333333333,0.060129545671536,0.6966749792186201,0.4062614920689402,0.5102671787534035,0.1172638436482084,0.132837407013815,0.2699115044247787,0.0,-0.8573542585322562,-2.8125
1027,0.0,-0.857317618713203,-2.8125,0.1875,0.0106327507476658,0.7515378221113882,0.5662556081296427,0.7123037227732789,0.2019543973941368,0.2287755343015704,0.3163716814159292,0.0,-0.9841100675155606,-2.5
1028,0.1111111111111111,-0.9841227400789904,-2.5,0.1666666666666666,0.0,0.9472568578553616,0.0532741670548432,0.0167387350108693,0.1302931596091205,0.0763569095131262,0.0,0.0,-0.9524748604109833,-3.125
1029,0.0,-0.9525747738184912,-3.125,0.2083333333333333,0.0575651597913397,0.0889027431421446,0.1871092696560347,0.1547677262627439,0.2182410423452769,0.2044810485299326,0.0088495575221238,0.0,-0.9742891000331841,-3.125
1030,0.4444444444444445,-0.974324781871857,-3.125,0.2083333333333333,0.0,0.7733998337489609,0.6147245580916423,0.7724610886915376,0.1400651465798045,0.1586669028220569,0.3938053097345133,0.0,-1.0,-0.0
1031,0.3333333333333333,-1.0,-0.0,0.0,0.0,0.9985453034081462,0.1370957856284782,0.0277735877845504,0.0,0.0,0.0,0.0,-0.40607290216707953,-5.625
1032,0.0,-0.4062907348121272,-5.625,0.375,0.0,0.0997921862011637,0.2522738973742921,0.210706139858058,0.1726384364820847,0.1207639626874483,0.0353982300884955,0.0,-0.9985279246680127,-1.25
1033,0.4444444444444445,-0.9985265221988596,-1.25,0.0833333333333333,0.0,0.9296758104738154,0.0642575204099144,0.0815623482739876,0.1498371335504886,0.1697366867398748,0.1482300884955752,1.0,-1.0,-0.0
1034,0.3333333333333333,-1.0,-0.0,0.0,0.0,0.9985453034081462,0.1370957856284782,0.0277735877845504,0.0,0.0,0.0,0.0,-0.7105837424481118,-3.4375
1035,0.0,-0.7103879954957649,-3.4375,0.2291666666666666,0.7765633840083904,0.5596425602660017,0.0568290470469979,0.0709392988148838,0.0488599348534201,0.0553489195890896,0.0730088495575221,0.0,-0.9652290571892252,-2.8125
1036,0.0,-0.9651580413397453,-2.8125,0.1875,0.2080856738126649,0.0288029925187032,0.1195665498050945,0.1047094510353337,0.2833876221498371,0.2141634195300507,0.0,0.0,-0.9850866395328172,-2.8125
1037,0.3333333333333333,-0.9851080528241696,-2.8125,0.1875,0.0,0.9472568578553616,0.0528328716075412,0.0165091998568722,0.1335504885993485,0.1049809107726217,0.0,0.0,-0.9934805142785069,-2.5
1038,0.4444444444444445,-0.9933805754946824,-2.5,0.1666666666666666,0.0,0.0105985037406483,0.028120326558631,0.0250113295666238,0.1628664495114006,0.1453142834651867,0.0,0.0,-0.9420566302829254,-2.1875
1039,0.0,-0.942481735570543,-2.1875,0.1458333333333333,0.4079337246822359,0.483458021612635,0.0167937434112138,0.0213590836173844,0.1270358306188925,0.143907190931633,0.0,1.0,-0.9818484616637686,-2.8125
1040,0.0,-0.9818159818485266,-2.8125,0.1875,0.0554869765780407,0.2137988362427265,0.0428056583882909,0.0356811070095707,0.1661237785016286,0.1347561695595701,0.0,0.0,-0.9619990324747748,-3.125
1041,0.0,-0.9616799357910764,-3.125,0.2083333333333333,0.0,0.7733998337489609,0.6150923042977273,0.7729275392844689,0.0618892508143322,0.0701086314795135,0.3938053097345133,0.0,-0.9841046816169946,-2.5
1042,0.1111111111111111,-0.9841227400789904,-2.5,0.1666666666666666,0.0,0.9472568578553616,0.0532741670548432,0.0167387350108693,0.1302931596091205,0.0763569095131262,0.0,0.0,-0.9751335914938345,-2.8125
1043,0.0,-0.9750830122388202,-2.8125,0.1875,0.1183573318091809,0.2137988362427265,0.0438353477653288,0.0365068696770213,0.2019543973941368,0.1432872830322352,0.0,0.0,-0.9904891910381312,-2.1875
1044,0.1111111111111111,-0.990445164098201,-2.1875,0.1458333333333333,0.0,0.9315876974231088,0.0290274338669739,0.0077489674856986,0.1530944625407166,0.0756189239186051,0.0,0.0,-0.8955066328777709,-5.0
1045,0.2222222222222222,-0.8954856525639114,-5.0,0.3333333333333333,0.0,0.6661263507896924,0.364975851332467,0.4598145558291605,0.4039087947882736,0.4540480969811469,0.25,0.0,-1.0,-0.0
1046,0.3333333333333333,-1.0,-0.0,0.0,0.0,0.9985453034081462,0.1370957856284782,0.0277735877845504,0.0,0.0,0.0,0.0,-0.6288840612258845,-5.625
1047,0.0,-0.6290406804573834,-5.625,0.375,0.2500050315266199,0.5531587697423109,0.0365049400573684,0.046360876860775,0.0781758957654723,0.0885582713425433,0.0066371681415929,0.0,-0.9975023631639159,-1.875
1048,0.7777777777777778,-0.9975001557755692,-1.875,0.125,0.0,0.17024106400665,0.0442766432126308,0.0562185327247224,0.1368078175895765,0.1549769748494509,0.0663716814159292,1.0,-0.9890238321371078,-2.5
1049,0.2222222222222222,-0.9889671954698426,-2.5,0.1666666666666666,0.0,0.9315876974231088,0.0283654906960209,0.0074686825071905,0.1237785016286645,0.0738477584917542,0.0,0.0,-0.9424022175013815,-2.1875
