start,5,15000,15000,150000,819,1024,10240,19,135000,12451,10000,10000,0,27800000,0,0,3,44,54820,7,10500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,135000,12451,10000,10000,0,27830000,0,0,3,64,84820,11,16500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,135000,12451,10000,10000,0,27950000,0,0,3,133,188320,15,22500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,0,27950000,0,0,3,140,198820,14,21000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,135000,12451,10000,10000,0,28050000,0,0,3,215,311320,36,54000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,120000,182844,40000,40000,0,28050000,0,0,3,242,351820,39,58500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,105000,235272,40000,40000,0,28050000,0,0,3,242,351820,30,45000,0,end 
start,2,15000,15000,150000,819,1024,10240,19,135000,12451,10000,10000,0,28100000,0,0,3,93,4884,2,104,0,end 
start,5,15000,15000,150000,819,1024,10240,19,90000,444987,40000,40000,0,28050000,0,0,3,264,384820,36,54000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,75000,1577449,50000,50000,0,28050000,0,0,3,265,386320,29,43500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,60000,948304,40000,40000,0,28050000,0,0,3,304,444820,43,64500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,45000,1158019,40000,40000,0,28050000,0,0,3,330,483820,44,66000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,30000,2290481,50000,50000,0,28050000,0,0,3,330,483820,36,54000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,15000,3464886,50000,50000,0,28050000,0,0,3,344,504820,34,51000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,4639291,50000,50000,0,28050000,0,0,3,369,542320,51,76500,0,end 
start,2,15000,15000,150000,819,1024,10240,19,135000,12451,10000,10000,0,28230000,0,0,3,148,7744,4,208,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,9504683,60000,60000,13917873,28050000,0,0,3,372,546820,46,69000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,7323645,50000,50000,365591144,28050000,0,0,3,409,602320,66,99000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,8498050,50000,50000,424180304,28050000,0,0,3,417,614320,58,87000,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,9672455,50000,50000,594141304,28050000,0,0,3,437,644320,61,91500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,14537847,60000,60000,884314954,28050000,0,0,3,467,689320,83,124500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,19738783,70000,70000,1131458353,28050000,0,0,3,484,714820,83,124500,0,end 
start,5,15000,15000,150000,819,1024,10240,19,0,25275264,80000,80000,1131458353,28050000,0,0,3,484,714820,67,100500,0,end 
