,EpisodeReward
0,-260.625
1,-239.375
2,-215.9375
3,-206.5625
4,-199.375
5,-211.875
6,-198.75
7,-173.75
8,-166.5625
9,-172.1875
10,-173.125
11,-174.6875
12,-166.25
13,-163.125
14,-164.0625
15,-153.75
16,-143.4375
17,-140.3125
18,-130.625
19,-135.625
20,-132.5
21,-140.9375
22,-139.6875
23,-143.125
24,-139.0625
25,-125.3125
