,EpisodeReward
0,-260.3125
1,-208.125
2,-229.375
3,-237.1875
4,-214.375
5,-189.0625
6,-180.3125
7,-192.8125
8,-183.75
9,-172.1875
10,-163.125
11,-165.625
12,-181.5625
13,-169.0625
14,-155.625
15,-174.375
16,-140.0
17,-127.1875
18,-120.625
19,-130.625
20,-143.125
21,-139.6875
22,-139.0625
23,-144.6875
24,-133.75
25,-131.5625
