,EpisodeReward
0,-265.625
1,-243.75
2,-248.125
3,-226.5625
4,-215.3125
5,-198.75
6,-200.3125
7,-183.4375
8,-181.25
9,-167.5
10,-183.75
11,-190.0
12,-171.875
13,-161.5625
14,-167.8125
15,-150.0
16,-152.8125
17,-143.75
18,-154.6875
19,-135.3125
20,-137.8125
21,-143.75
22,-129.0625
23,-142.8125
24,-144.6875
25,-132.8125
