,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn
839,0,56184311.08985551,330000,150000,1964729007,87030000,11817,11493740,171,225260,84,0
840,0,72277751.77876265,320000,160000,2079529068,87030000,11818,11495240,168,220760,84,0
841,0,103479320.41139793,290000,190000,3396718292,87030000,11842,11514200,179,220220,85,0
842,0,136651514.53439125,260000,220000,1902931416,87030000,11854,11532200,177,217220,86,0
843,0,157671518.45978338,240000,240000,2792167760,87030000,11866,11550200,180,221720,87,0
844,0,178691522.38517553,220000,260000,3436500656,87030000,11868,11553200,174,212720,87,0
845,0,199711526.31056765,210000,270000,7452777976,87030000,11879,11569700,180,221720,87,0
846,0,220731530.2359598,190000,290000,408065792,87030000,11887,11581700,178,218720,89,0
847,0,262771538.08674404,160000,320000,1481895408,87030000,11896,11595200,174,212720,90,0
848,0,283791542.01213616,140000,340000,2147659232,87030000,11907,11611700,176,215720,92,0
849,0,304811545.9375283,110000,370000,0,87030000,11908,11613200,164,197720,93,0
850,0,325831549.86292046,100000,380000,622814152,87030000,11920,11631200,169,205220,96,0
851,0,346851553.7883126,80000,400000,1331527648,87030000,11927,11641700,166,200720,98,0
852,0,367871557.7137047,70000,410000,2834853984,87030000,11932,11649200,166,200720,99,0
853,0,347508428.7886286,120000,360000,751663168,87030000,11943,11665700,160,200240,102,0
854,0,368528432.7140207,120000,360000,0,87030000,11951,11670600,158,191560,104,0
855,0,389548436.6394128,120000,360000,0,87030000,11951,11670600,152,185400,104,0
856,0,410568440.564805,120000,360000,0,87030000,11951,11670600,139,168740,104,0
857,0,426990318.50916505,140000,340000,838904689,87030000,11955,11670920,116,147020,105,0
858,0,461804699.88824326,160000,320000,0,87030000,11967,11671880,91,113780,108,0
859,0,479540328.32264537,190000,290000,0,87030000,11967,11671880,76,91280,108,0
860,0,500560332.2480375,190000,290000,979833300,87030000,11984,11673240,69,66580,115,0
861,0,521580336.17342967,180000,300000,3068348916,87030000,11990,11673720,71,63900,117,0
862,0,542600340.0988218,190000,290000,4134081560,87030000,11991,11673800,67,56480,117,0
863,0,570845970.4959201,210000,270000,0,87030000,11999,11674440,52,26880,120,0
864,0,596464099.9129341,230000,250000,0,87030000,12001,11674600,34,2720,121,0
865,135000,0.0,480000,0,0,96760000,4,6000,0,0,0,1
866,135000,0.0,480000,0,0,96840000,18,27000,0,0,0,1
867,135000,6093.645345535059,470000,10000,0,96880000,34,51000,8,12000,0,1
868,120000,33035.67219251161,460000,20000,0,96880000,35,52500,2,3000,0,1
869,135000,0.0,480000,0,0,96940000,42,63000,1,1500,0,1
870,135000,6093.645345535059,470000,10000,0,97110000,80,120000,8,12000,0,1
871,120000,61260.44295167573,450000,30000,0,97110000,83,124500,3,4500,0,1
872,135000,6093.645345535059,470000,10000,0,97270000,116,174000,7,10500,0,1
