,rewards
430,-3.125
431,-5.3125
432,-0.0
433,-2.1875
434,-8.75
435,-0.0
436,-4.375
437,-5.0
438,-2.1875
439,-5.9375
440,-1.25
441,-3.75
442,-6.875
443,-9.375
444,-11.5625
445,-0.0
446,-3.125
447,-3.75
448,-0.0
449,-7.8125
450,-2.8125
451,-1.875
452,-12.1875
453,-3.125
454,-5.0
455,-9.0625
456,-0.0
457,-9.0625
458,-1.875
459,-0.0
460,-4.375
461,-0.0
462,-8.75
463,-7.1875
464,-3.75
465,-10.3125
466,-0.9375
467,-6.25
468,-0.0
469,-6.875
470,-7.8125
471,-1.875
472,-2.5
473,-0.0
474,-0.9375
475,-6.25
476,-6.25
477,-8.125
478,-4.375
479,-0.0
480,-3.75
481,-2.5
482,-0.0
483,-2.1875
484,-4.6875
485,-1.5625
486,-4.0625
487,-3.125
488,-12.1875
489,-0.0
490,-2.8125
491,-5.3125
492,-2.8125
493,-7.8125
494,-0.0
495,-2.5
496,-7.1875
497,-0.0
498,-6.5625
499,-11.5625
500,-0.0
501,-10.0
502,-0.0
503,-4.0625
504,-8.75
505,-2.8125
506,-11.5625
507,-0.0
508,-1.5625
509,-2.8125
510,-2.5
511,-2.8125
512,-5.3125
513,-3.125
514,-3.75
515,-1.5625
516,-4.6875
517,-0.0
518,-6.875
519,-3.75
520,-9.0625
521,-4.375
522,-0.0
523,-6.5625
524,-1.25
525,-4.6875
526,-11.5625
527,-4.6875
528,-12.1875
529,-3.4375
530,-4.0625
531,-4.0625
532,-0.0
533,-3.75
534,-8.75
535,-6.5625
536,-0.3125
537,-6.25
538,-1.5625
539,-0.0
540,-2.5
541,-1.5625
542,-11.5625
543,-12.1875
544,-1.875
545,-5.625
546,-4.0625
547,-1.875
548,-4.0625
549,-0.0
550,-7.1875
551,-5.0
552,-11.875
553,-11.5625
554,-0.9375
555,-2.8125
556,-2.1875
557,-2.8125
558,-8.125
559,-0.625
560,-8.75
561,-0.9375
562,-0.0
563,-7.1875
564,-2.8125
565,-12.5
566,-7.1875
567,-0.0
568,-11.25
569,-3.125
570,-3.4375
571,-10.9375
572,-3.4375
573,-7.1875
574,-6.5625
575,-0.0
576,-2.8125
577,-3.4375
578,-0.0
579,-11.5625
580,-0.0
581,-0.0
582,-0.3125
583,-1.25
584,-4.0625
585,-7.8125
586,-11.5625
587,-0.3125
588,-8.4375
589,-0.3125
590,-1.5625
591,-11.5625
592,-0.0
593,-11.5625
594,-3.125
595,-2.8125
596,-2.8125
597,-2.1875
598,-8.125
599,-4.0625
600,-5.3125
601,-5.625
602,-3.125
603,-2.1875
604,-11.875
605,-6.25
606,-0.0
607,-7.1875
608,-0.0
609,-1.5625
610,-12.1875
611,-7.1875
612,-12.5
613,-4.375
614,-0.9375
615,-2.1875
616,-4.375
617,-12.1875
618,-5.3125
619,-8.4375
620,-7.8125
621,-2.8125
622,-3.75
623,-2.1875
624,-0.0
625,-7.1875
626,-4.6875
627,-7.5
628,-11.25
629,-1.875
630,-1.25
631,-5.625
632,-1.875
633,-3.4375
634,-6.875
635,-0.9375
636,-9.0625
637,-4.0625
638,-0.0
639,-5.0
640,-0.0
641,-8.125
642,-11.875
643,-0.0
644,-4.0625
645,-5.625
646,-0.0
647,-12.1875
648,-6.5625
649,-3.4375
650,-0.0
651,-2.5
652,-5.3125
653,-4.0625
654,-0.0
655,-7.1875
656,-0.0
657,-6.25
658,-2.5
659,-0.0
660,-12.5
661,-4.6875
662,-7.1875
663,-7.8125
664,-4.6875
665,-1.25
666,-0.0
667,-3.4375
668,-6.875
669,-7.1875
670,-5.9375
671,-3.4375
672,-0.9375
673,-0.0
674,-5.0
675,-7.5
676,-11.5625
677,-0.0
678,-1.875
679,-3.125
680,-0.0
681,-1.875
682,-11.5625
683,-3.125
684,-7.1875
685,-9.0625
686,-0.0
687,-11.5625
688,-2.8125
689,-5.3125
690,-0.0
691,-0.9375
692,-7.8125
693,-3.4375
694,-1.875
695,-7.1875
696,-0.0
697,-6.25
698,-0.0
699,-1.875
700,-8.4375
701,-12.8125
702,-3.4375
703,-7.1875
704,-0.0
705,-3.75
706,-2.5
707,-3.125
708,-7.8125
709,-9.0625
710,-12.5
711,-3.75
712,-5.0
713,-5.9375
714,-4.0625
715,-6.25
716,-3.75
717,-0.0
718,-1.25
719,-0.0
720,-4.0625
721,-7.1875
722,-11.25
723,-6.875
724,-3.4375
725,-4.375
726,-3.125
727,-2.8125
728,-5.0
729,-1.875
730,-3.4375
731,-7.1875
732,-2.1875
733,-5.625
734,-0.0
735,-6.5625
736,-6.875
737,-0.0
738,-0.625
739,-5.3125
740,-4.375
741,-8.75
742,-12.5
743,-4.0625
744,-5.625
745,-3.4375
746,-8.125
747,-2.5
748,-0.0
749,-0.9375
