,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn
0,135000,6093.645345535059,470000,10000,0,60930000,21,28678,1,1500,0,1
1,135000,6093.645345535059,470000,10000,0,61140000,58,84178,11,16500,0,1
2,135000,13149.960387854913,460000,20000,0,61320000,78,114178,8,12000,0,1
3,105000,0.0,470000,10000,0,61320000,98,144178,12,18000,0,1
4,90000,0.0,470000,10000,0,61320000,122,180178,12,18000,0,1
5,75000,6735.26200668649,460000,20000,0,61320000,134,198178,15,22500,0,1
6,60000,8018.005918874057,460000,20000,0,61320000,139,205678,5,7500,0,1
7,135000,13149.960387854913,460000,20000,0,61550000,173,256678,7,10500,0,1
8,105000,0.0,470000,10000,0,61550000,209,310678,32,48000,0,1
9,90000,6735.26200668649,460000,20000,0,61550000,213,316678,20,30000,0,1
10,75000,64468.036847317584,440000,40000,0,61550000,240,357178,35,52500,0,1
11,60000,0.0,460000,20000,0,61550000,244,363178,30,45000,0,1
12,45000,14433.193710157773,440000,40000,0,61550000,256,381178,21,31500,0,1
13,30000,40091.98723483146,440000,40000,0,61550000,271,403678,20,30000,0,1
14,15000,0.0,450000,30000,0,61550000,274,408178,7,10500,0,1
15,135000,6093.645345535059,470000,10000,0,61750000,302,450178,12,18000,0,1
16,120000,61260.44295167573,450000,30000,0,61750000,310,462178,12,18000,0,1
17,105000,189555.87880539006,440000,40000,0,61750000,321,478678,19,28500,0,1
18,90000,0.0,450000,30000,0,61750000,342,510178,32,48000,0,1
19,75000,8018.005918874057,440000,40000,0,61750000,342,510178,23,34500,0,1
20,60000,0.0,450000,30000,0,61750000,342,510178,19,28500,0,1
21,45000,22130.636003513762,420000,60000,0,61750000,362,540178,27,40500,0,1
22,30000,181217.30926099792,410000,70000,0,61750000,362,540178,23,34500,0,1
23,15000,0.0,430000,50000,0,61750000,388,579178,29,43500,0,1
24,0,0.0,460000,20000,0,61750000,396,591178,21,31500,0,1
25,0,320.56362551806797,460000,20000,0,61750000,414,618178,39,58500,0,1
26,0,21810.072377995693,430000,50000,51769,61750000,426,636178,34,51000,0,1
27,0,0.0,440000,40000,408281,61750000,434,648178,33,49500,0,1
28,0,15715.93762234534,420000,60000,0,61750000,441,658678,33,49500,0,1
29,0,61902.05961282716,420000,60000,32112,61750000,442,660178,25,37500,0,1
30,0,220988.73287031133,410000,70000,32112,61750000,442,660178,18,27000,0,1
31,0,0.0,430000,50000,1838276,61750000,446,666178,4,6000,0,1
32,135000,20206.275430174766,450000,30000,0,62080000,484,723178,25,37500,0,1
33,120000,0.0,460000,20000,0,62080000,484,723178,8,12000,0,1
34,105000,14433.193710157773,440000,40000,0,62080000,515,769678,32,48000,0,1
35,90000,40091.98723483146,440000,40000,0,62080000,520,777178,29,43500,0,1
36,135000,6093.645345535059,470000,10000,0,62170000,196,10466,4,208,0,0
37,75000,65750.78075950516,440000,40000,0,62080000,524,783178,33,49500,0,1
38,60000,317210.67681818357,420000,60000,0,62080000,538,804178,30,45000,0,1
39,45000,953558.3486683508,410000,70000,0,62080000,550,822178,38,57000,0,1
40,30000,727757.7355444614,420000,60000,0,62080000,550,822178,34,51000,0,1
41,135000,6093.645345535059,470000,10000,0,62230000,213,11350,7,364,0,0
42,15000,912503.6917367346,420000,60000,0,62080000,557,832678,29,43500,0,1
43,0,1548851.363586902,410000,70000,0,62080000,563,841678,31,46500,0,1
44,0,7132289.600387866,390000,90000,254714091,62080000,598,894178,49,73500,0,1
45,0,6557523.913935123,400000,80000,473312646,62080000,613,916678,56,84000,0,1
46,0,5818539.599755915,410000,70000,634098630,62080000,625,934678,64,96000,0,1
47,0,8528149.404293165,400000,80000,741098577,62080000,634,948178,64,96000,0,1
48,0,11401977.836556878,390000,90000,741098577,62080000,634,948178,60,90000,0,1
49,0,23554167.54474794,380000,100000,1160451579,62080000,652,975178,66,99000,0,1
50,0,36363232.25325498,370000,110000,1545472923,62080000,660,987178,70,105000,0,1
51,0,49829172.451488115,360000,120000,2139873915,62080000,668,999178,74,111000,0,1
52,0,63951987.650037214,350000,130000,203629516,62080000,683,1021678,76,114000,0,1
53,0,78731677.8489023,340000,140000,595644223,62080000,686,1026178,75,112500,0,1
54,0,86942616.57637727,340000,140000,595644223,62080000,686,1026178,71,106500,0,1
55,0,102379182.26496845,330000,150000,3438008575,62080000,702,1050178,75,112500,0,1
56,0,111246996.48216952,330000,150000,836755752,62080000,707,1057678,76,114000,0,1
57,0,128982624.91657166,330000,150000,836755752,62080000,707,1057678,72,108000,0,1
58,0,150002628.8419638,320000,160000,1054188468,62080000,715,1069678,66,99000,1,1
59,0,169052007.766408,320000,160000,1225987156,62080000,726,1086178,68,102000,2,1
60,0,188101386.69085222,320000,160000,2417939510,62080000,737,1102678,62,93000,3,1
61,0,209121390.61624435,310000,170000,1153029213,62080000,745,1114678,60,90000,4,1
62,0,215033266.59790838,320000,160000,3289492928,62080000,750,1122178,62,93000,4,1
63,0,234082645.52235258,320000,160000,0,62080000,759,1135678,57,85500,6,1
64,0,255102649.4477447,310000,170000,478295479,62080000,764,1143178,57,85500,7,1
65,0,261014525.42940873,320000,160000,478295479,62080000,764,1143178,53,79500,7,1
66,0,272181402.39242077,330000,150000,5725643593,62080000,780,1167178,47,70500,8,1
67,135000,6093.645345535059,470000,10000,0,62720000,319,16862,6,312,0,0
68,0,289917030.8268229,330000,150000,7950210629,62080000,784,1173178,43,64500,8,1
69,0,307652659.26122504,330000,150000,592380545,62080000,796,1191178,40,60000,11,1
70,0,310937034.752215,340000,140000,0,62080000,803,1201678,40,60000,13,1
71,0,312907659.753163,350000,130000,635330217,62080000,813,1216678,40,60000,15,1
72,0,284662029.35606474,380000,100000,635330217,62080000,813,1216678,32,48000,15,1
73,0,295828906.3190768,380000,100000,1163286252,62080000,827,1237678,35,52500,17,1
74,0,292544530.8280868,390000,90000,1208920278,62080000,832,1245178,28,42000,18,1
75,0,313564534.75347894,380000,100000,1195498506,62080000,848,1269178,39,58500,20,1
76,0,295828906.3190768,400000,80000,2476896356,62080000,850,1272178,37,55500,20,1
77,0,289917030.3374128,410000,70000,604460139,62080000,858,1284178,31,46500,22,1
78,0,310937034.2628049,400000,80000,1777141632,62080000,865,1294678,32,48000,23,1
79,0,331957038.1881971,390000,90000,1777141632,62080000,865,1294678,28,42000,23,1
80,0,341810165.1505771,390000,90000,0,62080000,873,1306678,23,34500,25,1
81,0,351663292.11295724,390000,90000,2095237641,62080000,880,1317178,25,37500,26,1
82,0,347065166.6213353,400000,80000,2095237641,62080000,880,1317178,21,31500,26,1
83,0,355604543.09367335,400000,80000,1418299932,62080000,884,1323178,13,19500,27,1
84,0,349692667.1120093,410000,70000,2144898202,62080000,885,1324678,10,15000,27,1
85,135000,6093.645345535059,470000,10000,0,63150000,901,1348678,2,3000,27,1
86,135000,6093.645345535059,470000,10000,0,63170000,902,1350178,1,1500,27,1
87,135000,6093.645345535059,470000,10000,0,63370000,626,119506,32,48000,0,0
88,120000,61260.44295167573,450000,30000,0,63370000,652,152714,50,69208,0,0
89,105000,302456.4300723924,430000,50000,0,63370000,659,163214,49,67708,0,0
90,90000,897749.4449909434,420000,60000,0,63370000,664,170714,50,69208,0,0
91,75000,1534097.1168411106,410000,70000,0,63370000,665,172214,47,64708,0,0
92,60000,2437300.0587467835,410000,70000,0,63370000,678,190286,36,48228,0,0
93,45000,3340503.0006524567,410000,70000,0,63370000,692,211286,39,57072,0,0
94,30000,6050112.805189706,400000,80000,0,63370000,693,212786,37,54072,0,0
95,15000,5311128.491010498,410000,70000,0,63370000,709,231014,44,58800,0,0
96,0,6214331.432916171,410000,70000,0,63370000,710,231086,35,45300,0,0
97,0,5311128.491010498,420000,60000,12697595,63370000,711,231158,32,39372,0,0
98,0,9662926.041042743,400000,80000,12697595,63370000,711,231158,24,27372,0,0
99,0,10730348.100084998,400000,80000,12697595,63370000,711,231158,11,9300,0,0
100,135000,6093.645345535059,470000,10000,0,63680000,756,234318,18,1216,0,0
101,135000,13149.960387854913,460000,20000,0,63780000,939,1405678,12,18000,27,1
102,120000,131181.97671372283,450000,30000,0,63780000,967,1447678,31,46500,27,1
103,105000,0.0,460000,20000,0,63780000,975,1459678,31,46500,27,1
104,90000,14433.193710157773,440000,40000,0,63780000,990,1482178,26,39000,27,1
105,75000,40091.98723483146,440000,40000,0,63780000,1005,1504678,37,55500,27,1
106,60000,178651.3320265075,430000,50000,0,63780000,1006,1506178,31,46500,27,1
107,45000,773944.3469450586,420000,60000,0,63780000,1007,1507678,18,27000,27,1
108,30000,507089.0768895529,430000,50000,0,63780000,1007,1507678,13,19500,27,1
109,15000,1102382.091808104,420000,60000,0,63780000,1007,1507678,9,13500,27,1
110,135000,6093.645345535059,470000,10000,0,64010000,909,251394,17,8364,0,0
111,135000,6093.645345535059,470000,10000,0,64040000,928,259902,5,1788,0,0
112,135000,6093.645345535059,470000,10000,0,64060000,935,260406,7,504,0,0
113,135000,6093.645345535059,470000,10000,0,64120000,1024,1533178,2,3000,27,1
114,135000,6093.645345535059,470000,10000,0,64140000,978,263502,15,1080,0,0
115,135000,6093.645345535059,470000,10000,0,64180000,1043,1561678,7,10500,27,1
116,135000,6093.645345535059,470000,10000,0,64320000,1075,1609678,4,6000,27,1
117,135000,0.0,480000,0,0,64380000,1090,1632178,0,0,27,1
118,135000,6093.645345535059,470000,10000,0,64410000,1099,1645678,2,3000,27,1
119,120000,33035.67219251161,460000,20000,0,64410000,1112,1665178,7,10500,27,1
120,135000,0.0,480000,0,0,64460000,1118,1674178,0,0,27,1
121,135000,0.0,480000,0,0,64590000,1149,1720678,0,0,27,1
122,135000,0.0,480000,0,0,64610000,1154,1728178,0,0,27,1
123,135000,6093.645345535059,470000,10000,0,64640000,1165,1744678,6,9000,27,1
124,120000,33035.67219251161,460000,20000,0,64640000,1167,1747678,4,6000,27,1
125,135000,6093.645345535059,470000,10000,0,64680000,1175,1759678,2,3000,27,1
126,135000,6093.645345535059,470000,10000,0,64700000,1191,1783678,11,16500,27,1
127,120000,33035.67219251161,460000,20000,0,64700000,1196,1791178,8,12000,27,1
128,105000,151067.68851837952,450000,30000,0,64700000,1201,1798678,5,7500,27,1
129,90000,0.0,470000,10000,0,64700000,1206,1806178,6,9000,27,1
130,75000,0.0,470000,10000,0,64700000,1211,1813678,3,4500,27,1
131,135000,6093.645345535059,470000,10000,0,64810000,1221,1828678,3,4500,27,1
132,135000,6093.645345535059,470000,10000,0,64860000,1234,1848178,3,4500,27,1
133,135000,6093.645345535059,470000,10000,0,64930000,1252,1875178,6,9000,27,1
134,135000,6093.645345535059,470000,10000,0,64960000,1265,1894678,3,4500,27,1
135,120000,4810.901433347493,470000,10000,0,64960000,1277,1912678,10,15000,27,1
136,105000,31752.928280324042,460000,20000,0,64960000,1281,1918678,2,3000,27,1
137,135000,6093.645345535059,470000,10000,0,65030000,1292,1935178,4,6000,27,1
138,135000,6093.645345535059,470000,10000,0,65090000,1313,1966678,4,6000,27,1
139,135000,6093.645345535059,470000,10000,0,65140000,1321,1978678,1,1500,27,1
140,135000,6093.645345535059,470000,10000,0,65160000,1330,1992178,4,6000,27,1
141,120000,0.0,480000,0,0,65160000,1330,1992178,0,0,27,1
142,135000,6093.645345535059,470000,10000,0,65220000,1343,2011678,1,1500,27,1
143,135000,13149.960387854913,460000,20000,0,65260000,1365,2044678,5,7500,27,1
144,120000,18281.425446720474,460000,20000,0,65260000,1370,2052178,3,4500,27,1
145,105000,0.0,480000,0,0,65260000,1376,2061178,0,0,27,1
146,90000,13149.960387854913,460000,20000,0,65260000,1390,2082178,6,9000,27,1
147,75000,0.0,470000,10000,0,65260000,1391,2083678,3,4500,27,1
148,135000,6093.645345535059,470000,10000,0,65370000,1400,2097178,7,10500,27,1
149,135000,6093.645345535059,470000,10000,0,65440000,1417,2122678,1,1500,27,1
150,135000,6093.645345535059,470000,10000,0,65470000,1425,2134678,2,3000,27,1
151,135000,6093.645345535059,470000,10000,0,65510000,1431,2143678,2,3000,27,1
152,135000,13149.960387854913,460000,20000,0,65560000,1449,2170678,1,1500,27,1
153,120000,0.0,470000,10000,0,65560000,1458,2184178,7,10500,27,1
154,105000,0.0,470000,10000,0,65560000,1465,2194678,10,15000,27,1
155,90000,6735.26200668649,460000,20000,0,65560000,1474,2208178,11,16500,27,1
156,75000,8018.005918874057,460000,20000,0,65560000,1478,2214178,6,9000,27,1
157,60000,0.0,470000,10000,0,65560000,1491,2233678,10,15000,27,1
158,45000,6735.26200668649,460000,20000,0,65560000,1492,2235178,8,12000,27,1
159,30000,0.0,470000,10000,0,65560000,1497,2242678,2,3000,27,1
160,135000,6093.645345535059,470000,10000,0,65730000,1515,2269678,2,3000,27,1
161,135000,0.0,480000,0,0,65760000,1521,2278678,0,0,27,1
162,135000,6093.645345535059,470000,10000,0,65830000,1539,2305678,1,1500,27,1
163,135000,6093.645345535059,470000,10000,0,65850000,1550,2322178,6,9000,27,1
164,135000,6093.645345535059,470000,10000,0,65880000,1561,2338678,5,7500,27,1
165,120000,4810.901433347493,470000,10000,0,65880000,1561,2338678,1,1500,27,1
166,135000,6093.645345535059,470000,10000,0,65950000,1580,2367178,6,9000,27,1
167,135000,0.0,480000,0,0,65950000,1261,278534,2,104,0,0
168,135000,13149.960387854913,460000,20000,0,66010000,1607,2407678,6,9000,27,1
169,120000,131181.97671372283,450000,30000,0,66010000,1607,2407678,2,3000,27,1
170,135000,6093.645345535059,470000,10000,0,66060000,1622,2430178,5,7500,27,1
171,120000,4810.901433347493,470000,10000,0,66060000,1630,2442178,5,7500,27,1
172,135000,6093.645345535059,470000,10000,0,66160000,1653,2476678,7,10500,27,1
173,135000,6093.645345535059,470000,10000,0,66240000,1677,2512678,10,15000,27,1
174,120000,33035.67219251161,460000,20000,0,66240000,1684,2523178,9,13500,27,1
175,105000,0.0,470000,10000,0,66240000,1687,2527678,8,12000,27,1
176,90000,6735.26200668649,460000,20000,0,66240000,1690,2532178,7,10500,27,1
177,135000,6093.645345535059,470000,10000,0,66360000,1717,2572678,2,3000,27,1
178,135000,6093.645345535059,470000,10000,0,66420000,1743,2611678,5,7500,27,1
179,120000,0.0,480000,0,0,66420000,1747,2617678,0,0,27,1
180,135000,6093.645345535059,470000,10000,0,66560000,1765,2644678,7,10500,27,1
181,135000,6093.645345535059,470000,10000,0,66590000,1781,2668678,6,9000,27,1
182,135000,13149.960387854913,460000,20000,0,66630000,1793,2686678,1,1500,27,1
183,135000,6093.645345535059,470000,10000,0,66690000,1821,2728678,3,4500,27,1
184,135000,6093.645345535059,470000,10000,0,66710000,1835,2749678,9,13500,27,1
185,120000,33035.67219251161,460000,20000,0,66710000,1839,2755678,5,7500,27,1
186,105000,0.0,470000,10000,0,66710000,1841,2758678,2,3000,27,1
187,135000,0.0,480000,0,0,66860000,1866,2796178,0,0,27,1
188,135000,0.0,480000,0,0,66860000,1879,2815678,0,0,27,1
189,135000,6093.645345535059,470000,10000,0,66910000,1897,2842678,13,19500,27,1
190,120000,61260.44295167573,450000,30000,0,66910000,1901,2848678,9,13500,27,1
191,105000,0.0,480000,0,0,66910000,1901,2848678,0,0,27,1
192,135000,6093.645345535059,470000,10000,0,66980000,1923,2881678,11,16500,27,1
193,120000,61260.44295167573,450000,30000,0,66980000,1925,2884678,5,7500,27,1
194,135000,6093.645345535059,470000,10000,0,67060000,1436,287634,4,208,0,0
195,135000,6093.645345535059,470000,10000,0,67060000,1936,2901178,3,4500,27,1
196,135000,6093.645345535059,470000,10000,0,67110000,1947,2917678,5,7500,27,1
197,120000,4810.901433347493,470000,10000,0,67110000,1962,2940178,12,18000,27,1
198,105000,31752.928280324042,460000,20000,0,67110000,1966,2946178,8,12000,27,1
199,90000,36884.393339189606,460000,20000,0,67110000,1971,2953678,13,19500,27,1
200,75000,154916.40966505752,450000,30000,0,67110000,1977,2962678,7,10500,27,1
201,60000,0.0,470000,10000,0,67110000,1983,2971678,4,6000,27,1
202,45000,0.0,470000,10000,0,67110000,1993,2986678,2,3000,27,1
203,135000,6093.645345535059,470000,10000,0,67250000,2005,3004678,7,10500,27,1
204,120000,33035.67219251161,460000,20000,0,67250000,2018,3024178,11,16500,27,1
205,105000,38167.13725137717,460000,20000,0,67250000,2019,3025678,4,6000,27,1
206,90000,0.0,480000,0,0,67250000,2021,3028678,0,0,27,1
207,135000,6093.645345535059,470000,10000,0,67310000,1478,289818,4,208,0,0
208,75000,0.0,480000,0,0,67250000,2025,3034678,4,6000,27,1
209,135000,6093.645345535059,470000,10000,0,67380000,2041,3058678,4,6000,27,1
210,135000,6093.645345535059,470000,10000,0,67400000,1496,290754,3,156,0,0
211,135000,13149.960387854913,460000,20000,0,67420000,2059,3085678,8,12000,27,1
212,120000,0.0,480000,0,0,67420000,2059,3085678,0,0,27,1
213,105000,13149.960387854913,460000,20000,0,67420000,2076,3111178,9,13500,27,1
214,135000,0.0,480000,0,0,67500000,2083,3121678,0,0,27,1
215,135000,6093.645345535059,470000,10000,0,67530000,2095,3139678,4,6000,27,1
216,135000,6093.645345535059,470000,10000,0,67550000,2108,3159178,8,12000,27,1
217,120000,0.0,480000,0,0,67550000,2109,3160678,0,0,27,1
218,105000,6093.645345535059,470000,10000,0,67550000,2117,3172678,4,6000,27,1
219,90000,0.0,480000,0,0,67550000,2117,3172678,0,0,27,1
220,135000,6093.645345535059,470000,10000,0,67770000,2175,3259678,11,16500,27,1
221,120000,33035.67219251161,460000,20000,0,67770000,2175,3259678,2,3000,27,1
222,135000,6093.645345535059,470000,10000,0,67810000,2185,3274678,4,6000,27,1
223,135000,6093.645345535059,470000,10000,0,67820000,1565,294342,2,104,0,0
